"Date";"CampaignId";"CampaignName";"AdSetId";"AdsetName";"AdId";"AdName";"DeviceTypeId";"Clicks";"Shows";"Budget";"JActions"
01.10.2020;23845631149110291;"CampaignName_90";23845631148900291;"AdsetName_6";23845631241150291;"AdName_18";3;0,0;3,0;0,148;"[
  {
    ""action_type"": ""video_view"",
    ""value"": 1
  },
  {
    ""action_type"": ""post_engagement"",
    ""value"": 1
  },
  {
    ""action_type"": ""page_engagement"",
    ""value"": 1
  }
]"
01.10.2020;23845631149110291;"CampaignName_90";23845631148900291;"AdsetName_6";23845631241150291;"AdName_18";3;0,0;15,0;1,279;"[
  {
    ""action_type"": ""video_view"",
    ""value"": 3
  },
  {
    ""action_type"": ""post_engagement"",
    ""value"": 3
  },
  {
    ""action_type"": ""page_engagement"",
    ""value"": 3
  }
]"
01.10.2020;23845631149110291;"CampaignName_90";23845631148900291;"AdsetName_6";23845631241150291;"AdName_18";2;9,0;3595,0;208,51;"[
  {
    ""action_type"": ""landing_page_view"",
    ""value"": 8
  },
  {
    ""action_type"": ""link_click"",
    ""value"": 9
  },
  {
    ""action_type"": ""video_view"",
    ""value"": 405
  },
  {
    ""action_type"": ""post_engagement"",
    ""value"": 414
  },
  {
    ""action_type"": ""page_engagement"",
    ""value"": 414
  }
]"
01.10.2020;23845631149110291;"CampaignName_90";23845631148900291;"AdsetName_6";23845631241160291;"AdName_17";2;44,0;4143,0;671,268;"[
  {
    ""action_type"": ""landing_page_view"",
    ""value"": 36
  },
  {
    ""action_type"": ""link_click"",
    ""value"": 42
  },
  {
    ""action_type"": ""post"",
    ""value"": 1
  },
  {
    ""action_type"": ""video_view"",
    ""value"": 805
  },
  {
    ""action_type"": ""post_engagement"",
    ""value"": 848
  },
  {
    ""action_type"": ""page_engagement"",
    ""value"": 848
  }
]"
01.10.2020;23845631149110291;"CampaignName_90";23845631148900291;"AdsetName_6";23845631241160291;"AdName_17";3;0,0;19,0;3,87;"[
  {
    ""action_type"": ""video_view"",
    ""value"": 6
  },
  {
    ""action_type"": ""post_engagement"",
    ""value"": 6
  },
  {
    ""action_type"": ""page_engagement"",
    ""value"": 6
  }
]"
01.10.2020;23845631149110291;"CampaignName_90";23845631148900291;"AdsetName_6";23845631241160291;"AdName_17";3;1,0;4,0;0,394;"[
  {
    ""action_type"": ""landing_page_view"",
    ""value"": 1
  },
  {
    ""action_type"": ""link_click"",
    ""value"": 1
  },
  {
    ""action_type"": ""video_view"",
    ""value"": 1
  },
  {
    ""action_type"": ""post_engagement"",
    ""value"": 2
  },
  {
    ""action_type"": ""page_engagement"",
    ""value"": 2
  }
]"
01.10.2020;23845631149110291;"CampaignName_90";23845631148900291;"AdsetName_6";23845631241160291;"AdName_17";2;19,0;1420,0;200,178;"[
  {
    ""action_type"": ""landing_page_view"",
    ""value"": 14
  },
  {
    ""action_type"": ""link_click"",
    ""value"": 18
  },
  {
    ""action_type"": ""post"",
    ""value"": 1
  },
  {
    ""action_type"": ""video_view"",
    ""value"": 214
  },
  {
    ""action_type"": ""post_engagement"",
    ""value"": 233
  },
  {
    ""action_type"": ""page_engagement"",
    ""value"": 233
  }
]"
01.10.2020;23845631149110291;"CampaignName_90";23845631149060291;"AdsetName_2";23845631460200291;"AdName_1";2;7,0;1184,0;90,797;"[
  {
    ""action_type"": ""landing_page_view"",
    ""value"": 6
  },
  {
    ""action_type"": ""onsite_conversion.post_save"",
    ""value"": 1
  },
  {
    ""action_type"": ""link_click"",
    ""value"": 7
  },
  {
    ""action_type"": ""post_reaction"",
    ""value"": 1
  },
  {
    ""action_type"": ""post_engagement"",
    ""value"": 9
  },
  {
    ""action_type"": ""page_engagement"",
    ""value"": 9
  }
]"
01.10.2020;23845631149110291;"CampaignName_90";23845631149060291;"AdsetName_2";23845631460200291;"AdName_1";3;0,0;1,0;0,0;null
01.10.2020;23845631149110291;"CampaignName_90";23845631149060291;"AdsetName_2";23845631460200291;"AdName_1";3;0,0;4,0;0,049;null
01.10.2020;23845631149110291;"CampaignName_90";23845631149060291;"AdsetName_2";23845631460200291;"AdName_1";2;1,0;660,0;40,731;"[
  {
    ""action_type"": ""landing_page_view"",
    ""value"": 1
  },
  {
    ""action_type"": ""link_click"",
    ""value"": 1
  },
  {
    ""action_type"": ""post_engagement"",
    ""value"": 1
  },
  {
    ""action_type"": ""page_engagement"",
    ""value"": 1
  }
]"
01.10.2020;23845631149110291;"CampaignName_90";23845631149060291;"AdsetName_2";23845631460210291;"AdName_2";2;0,0;454,0;22,763;null
01.10.2020;23845631149110291;"CampaignName_90";23845631149060291;"AdsetName_2";23845631460210291;"AdName_2";3;0,0;5,0;0,016;null
01.10.2020;23845631149110291;"CampaignName_90";23845631149060291;"AdsetName_2";23845631460210291;"AdName_2";2;0,0;181,0;5,002;null
01.10.2020;23845631725960291;"CampaignName_89";23845631725980291;"AdsetName_5";23845631725870291;"AdName_15";2;0,0;51,0;13,186;"[
  {
    ""action_type"": ""video_view"",
    ""value"": 8
  },
  {
    ""action_type"": ""post_engagement"",
    ""value"": 8
  },
  {
    ""action_type"": ""page_engagement"",
    ""value"": 8
  }
]"
01.10.2020;23845631725960291;"CampaignName_89";23845631725980291;"AdsetName_5";23845631725870291;"AdName_15";2;0,0;46,0;8,348;"[
  {
    ""action_type"": ""video_view"",
    ""value"": 8
  },
  {
    ""action_type"": ""post_engagement"",
    ""value"": 8
  },
  {
    ""action_type"": ""page_engagement"",
    ""value"": 8
  }
]"
01.10.2020;23845631725960291;"CampaignName_89";23845631725980291;"AdsetName_5";23845631725880291;"AdName_16";2;0,0;55,0;3,772;"[
  {
    ""action_type"": ""video_view"",
    ""value"": 5
  },
  {
    ""action_type"": ""post_engagement"",
    ""value"": 5
  },
  {
    ""action_type"": ""page_engagement"",
    ""value"": 5
  }
]"
