"Date";"CampaignId";"DeviceTypeId";"CampaignName";"Clicks";"Shows";"Budget";"CampaignType";"AdNetworkType"
01.10.2020;55421044;2;"CampaignName_12";6,0;28,0;466,3;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421044;2;"CampaignName_12";1,0;3,0;34,063;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421044;2;"CampaignName_12";0,0;1,0;0,0;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421044;2;"CampaignName_12";0,0;1,0;0,0;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421044;2;"CampaignName_12";0,0;1,0;0,0;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421044;3;"CampaignName_12";0,0;3,0;0,0;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421044;3;"CampaignName_12";0,0;3,0;0,0;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421044;3;"CampaignName_12";1,0;1,0;22,469;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421542;1;"CampaignName_10";0,0;1,0;0,0;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421542;1;"CampaignName_10";1,0;6,0;64,912;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421542;1;"CampaignName_10";0,0;1,0;0,0;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421542;1;"CampaignName_10";1,0;3,0;35,876;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421542;1;"CampaignName_10";0,0;3,0;0,0;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421542;2;"CampaignName_10";0,0;1,0;0,0;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421542;2;"CampaignName_10";0,0;3,0;0,0;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421542;2;"CampaignName_10";1,0;17,0;11,372;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421542;2;"CampaignName_10";1,0;1,0;56,481;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421542;2;"CampaignName_10";0,0;3,0;0,0;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421542;2;"CampaignName_10";0,0;1,0;0,0;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421542;2;"CampaignName_10";0,0;3,0;0,0;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421542;2;"CampaignName_10";0,0;9,0;0,0;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421542;2;"CampaignName_10";0,0;1,0;0,0;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421542;2;"CampaignName_10";1,0;1,0;125,617;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421542;2;"CampaignName_10";2,0;9,0;173,291;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421542;3;"CampaignName_10";0,0;1,0;0,0;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421551;1;"CampaignName_16";0,0;1,0;0,0;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421551;1;"CampaignName_16";0,0;1,0;0,0;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421551;1;"CampaignName_16";3,0;7,0;187,194;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421551;1;"CampaignName_16";0,0;1,0;0,0;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421551;1;"CampaignName_16";0,0;3,0;0,0;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421551;2;"CampaignName_16";0,0;4,0;0,0;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421551;2;"CampaignName_16";0,0;1,0;0,0;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421551;2;"CampaignName_16";1,0;6,0;40,595;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421551;2;"CampaignName_16";0,0;14,0;0,0;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421551;2;"CampaignName_16";3,0;4,0;217,05;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421551;2;"CampaignName_16";0,0;10,0;0,0;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421551;2;"CampaignName_16";0,0;1,0;0,0;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421551;3;"CampaignName_16";0,0;1,0;0,0;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421559;1;"CampaignName_14";5,0;24,0;82,097;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421559;1;"CampaignName_14";1,0;7,0;26,659;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421559;1;"CampaignName_14";0,0;1,0;0,0;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421559;1;"CampaignName_14";1,0;13,0;40,134;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421559;1;"CampaignName_14";0,0;1,0;0,0;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421559;1;"CampaignName_14";0,0;1,0;0,0;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421559;1;"CampaignName_14";0,0;11,0;0,0;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421559;1;"CampaignName_14";2,0;9,0;85,175;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421559;1;"CampaignName_14";0,0;1,0;0,0;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421559;1;"CampaignName_14";0,0;4,0;0,0;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421559;1;"CampaignName_14";0,0;1,0;0,0;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421559;1;"CampaignName_14";0,0;3,0;0,0;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421559;1;"CampaignName_14";0,0;1,0;0,0;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421559;1;"CampaignName_14";0,0;3,0;0,0;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421559;1;"CampaignName_14";0,0;1,0;0,0;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421559;1;"CampaignName_14";0,0;1,0;0,0;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421559;2;"CampaignName_14";3,0;70,0;24,898;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421559;2;"CampaignName_14";0,0;1,0;0,0;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421559;2;"CampaignName_14";1,0;3,0;62,586;"TEXT_CAMPAIGN";"SEARCH"
